region,YEAR.x,STATE_CODE.x,DD,T_YEAR,YEAR.y,STATE_CODE.y,race,MEM_,OSS_,pct_
missouri,2022,MO,0,2023,2012,MO,total,924380,70595,7.63701057434082
missouri,2022,MO,0,2023,2014,MO,AI,4635,395,8.52211475372315
missouri,2022,MO,0,2023,2014,MO,AS,17455,440,2.52076768875122
missouri,2022,MO,0,2023,2014,MO,BL,129425,22765,17.5893383026123
missouri,2022,MO,0,2023,2014,MO,HI,47300,2725,5.76109933853149
missouri,2022,MO,0,2023,2014,MO,HP,2375,100,4.21052646636963
missouri,2022,MO,0,2023,2014,MO,MR,23290,1815,7.793044090271
missouri,2022,MO,0,2023,2014,MO,WH,682430,28125,4.12130165100098
missouri,2022,MO,0,2023,2014,MO,total,906920,56355,6.21388864517212
missouri,2022,MO,0,2023,2016,MO,AI,4525,325,7.1823205947876
missouri,2022,MO,0,2023,2016,MO,AS,18485,325,1.75818228721619
missouri,2022,MO,0,2023,2016,MO,BL,149085,24495,16.4302234649658
missouri,2022,MO,0,2023,2016,MO,HI,54695,2930,5.35697984695435
missouri,2022,MO,0,2023,2016,MO,HP,2785,130,4.66786336898804
missouri,2022,MO,0,2023,2016,MO,MR,30340,2460,8.10810852050781
missouri,2022,MO,0,2023,2016,MO,WH,672525,25125,3.73592066764832
missouri,2022,MO,0,2023,2016,MO,total,932435,55790,5.98325872421265
missouri,2022,MO,0,2023,2018,MO,AI,3435,165,4.80349349975586
missouri,2022,MO,0,2023,2018,MO,AS,18625,275,1.4765100479126
missouri,2022,MO,0,2023,2018,MO,BL,145520,21680,14.8982954025269
missouri,2022,MO,0,2023,2018,MO,HI,58845,2350,3.99354243278503
missouri,2022,MO,0,2023,2018,MO,HP,2500,110,4.40000009536743
missouri,2022,MO,0,2023,2018,MO,MR,36230,2155,5.94810914993286
missouri,2022,MO,0,2023,2018,MO,WH,662380,24160,3.64745306968689
missouri,2022,MO,0,2023,2018,MO,total,927540,50890,5.48655605316162
missouri,2022,MO,0,2023,2020,MO,AI,3220,95,2.95031046867371
missouri,2022,MO,0,2023,2020,MO,AS,18650,75,0.402144759893417
missouri,2022,MO,0,2023,2020,MO,BL,136595,3640,2.6648120880127
missouri,2022,MO,0,2023,2020,MO,HI,62820,1070,1.70327925682068
missouri,2022,MO,0,2023,2020,MO,HP,3330,90,2.70270276069641
missouri,2022,MO,0,2023,2020,MO,MR,42795,1335,3.11952328681946
missouri,2022,MO,0,2023,2020,MO,WH,624855,15040,2.40695834159851
missouri,2022,MO,0,2023,2020,MO,total,892265,21345,2.39222645759583
montana,2022,MT,1,1991,1972,MT,AI,3155,50,1.58478605747223
montana,2022,MT,1,1991,1972,MT,AS,75,0,
montana,2022,MT,1,1991,1972,MT,BL,50,0,
montana,2022,MT,1,1991,1972,MT,HI,320,0,
montana,2022,MT,1,1991,1972,MT,HP,0,0,
montana,2022,MT,1,1991,1972,MT,MR,0,0,
montana,2022,MT,1,1991,1972,MT,WH,11890,25,0.210260719060898
montana,2022,MT,1,1991,1972,MT,total,15490,75,0.484183341264725
montana,2022,MT,1,1991,1974,MT,AI,2085,35,1.67865705490112
montana,2022,MT,1,1991,1974,MT,AS,165,0,
